GitHub_Entity_Filename,Oasis_Entity_ID,Oasis_Account,ETH_Address,2021-05-04-05-00-01,2021-05-05-05-00-01,2021-05-06-05-00-01,2021-05-07-05-00-01,2021-05-08-05-00-01,2021-05-09-05-00-01,2021-05-10-05-00-01,2021-05-11-05-00-01,2021-05-12-05-00-02,2021-05-13-05-00-01,2021-05-14-05-00-01,2021-05-15-05-00-01,2021-05-16-05-00-01,2021-05-17-05-00-01,2021-05-18-05-00-01,2021-05-19-05-00-01,2021-05-20-05-00-01,2021-05-21-05-00-01,2021-05-22-05-00-02,2021-05-23-05-00-01,2021-05-24-05-00-01,2021-05-25-05-00-02,2021-05-26-05-00-01,2021-05-27-05-00-01,2021-05-28-05-00-01,2021-05-29-05-00-01,2021-05-30-05-00-01,2021-05-31-05-00-01,2021-06-01-05-00-01,2021-06-02-05-00-01,2021-06-03-05-00-01
jrastit-entity.json,kupW3Pt0XMeERSkdDWyZMU4oZrk0wGysVXVyqX3rylc=,oasis1qz26ty8q6gwt6zah7dtt8jpepvwnttkg8ssnxjl7,0xB724531aD056340bbf611Ac2E68502B26D394179,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36393632.010034104,36409097.356713117,36424497.156035249,36439833.50562673,36455121.630744426,36470363.653462965,36485567.172433537,36476487.151192555
k0kk0k-entity.json,LaKJUKndAqH57DVExspTjdRTRNGJOSqArzM0pm8REZw=,oasis1qrmexg6kh67xvnp7k42sx482nja5760stcrcdkhm,0x21ae46BA2e14C70bF4cF135931020BeA69F1c3ec,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45758489.531530062,45777934.44167033,45797296.937721161,45816579.657072731,45835801.742765143,45854965.862928071,45874081.571507681,45893150.178056565
kaustubhkapatral-entity.json,tvPlmGHv5aokL9MMBqNAkSOygldJIlRTmSIvCwuh0rU=,oasis1qzc687uuywnel4eqtdn6x3t9hkdvf6sf2gtv4ye9,0xbDcaAB0Ed904cBD5Ed666622f1D5BfA4d0A35E4f,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48556895.863132298,48577529.94625907,48598076.575180084,48618538.548577762,48638936.180204029,48659272.301360711,48679557.050275128,48699791.81658688
lqyice-entity.json,J2nwlXuYEPNZ0mMH2Phg5RofbZzj65xDvQMNdy9Ji0E=,oasis1qz22xm9vyg0uqxncc667m4j4p5mrsj455c743lfn,0x64fbF94E304F35970692C06c52A414784Af15B5F,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,131317627.557721627,131373430.524424338,131428996.979327527,131484334.491208591,131539497.99672816,131594495.152879786,131649353.377560266,131704076.428921191
lymweb-entity.json,BTAJNDyd6/UQ+pfhTDdPGsothzJ+C5/C/g52a3DIlMw=,oasis1qrgxl0ylc7lvkj0akv6s32rj4k98nr0f7smf6m4k,0xB30d353A0cdab1F33E486FB605BCa9ec88826C9A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38107916.858671791,38120378.543375422,38132768.75264636,38145089.701368248,38157357.344276286,38169573.916434348,38181747.383262389,38193878.845917959
marssuper-entity.json,zAhtGrpk1L3bBLaP5enm3natUTCoj7MEFryq9+MG4tE=,oasis1qq0xmq7r0z9sdv02t5j9zs7en3n6574gtg8v9fyt,0x33E0e54ffC9a5b43B28e331957387F0BE60e48C5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58641079.603019229,58671000.251683076,58695816.072329574,58720529.647673843,58745165.512272202,58769727.085716183,58794226.612760476,58818665.771784888
nodeRunner130-entity.json,9+lM5vQ1g+cVzjaNM78gxw1yUegVj57tHDbpN7DKIvw=,oasis1qppctxzn8djkqfvrxugak9v7dp25vddq7sxqhkry,0xb2F959f8B17c9452Fc1d1B9c75020A000471D534,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,905.01043835,905.01043835,905.01043835,905.01043835,905.01043835,905.01043835,905.01043835,905.01043835
nodeasy-entity.json,J3ou5m1abrwcbYwTksSj1Hj21QoDjyrSkjB40rEKV4E=,oasis1qqnmppt4j5d2yl584euhn6g2cw9gewdswga9frg4,0x183348a186F6099110327a37368cA19430Ee30Ea,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,52526334.787145603,52548655.669464722,52570881.948354018,52593016.651283173,52615081.752616799,52637080.315110556,52659023.305773619,52680912.227846126
npinto-entity.json,kN01v7L/wv6hvrd1ak83pgCedGDnpgbGJVkXezhUUJ8=,oasis1qrw82ag2sypeytse9x9k4uxym53l5lc5jyfs2sxv,0xb98ddC58bc81c697A38151D5d5b7e4b8d917f6C1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
oceanabcde-entity.json,ko5wr5SMqhKb+P1kimM1EF/T4SqvW/WjSOwPHigQl+k=,oasis1qz72lvk2jchk0fjrz7u2swpazj3t5p0edsdv7sf8,0x373Ae024d17D7AE3C99CBe614a36c5EAa770dF66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,185801970.259251944,185891973.149327363,185957970.820278714,186039267.637511379,186180726.306593079,186267474.943124402,186345124.8704958,-1
ponchik69-entity.json,FDqRmM1FyhaGas+lquWmGAKgMsU2rj7UESAlnOHtxco=,oasis1qq7vyz4ewrdh00yujw0mgkf459et306xmvh2h3zg,0xfA92Bd86c45C6e6e9EA6c10918D98579B39A4AfC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,43705900.825702983,43724803.594704156,43743297.686830671,43761715.580226308,43780075.559369801,43798380.172725764,43816638.545747859,43846306.317087598
