GitHub_Entity_Filename,Oasis_Entity_ID,Oasis_Account,ETH_Address,2021-04-04-05-00-01,2021-04-05-05-00-02,2021-04-06-05-00-01,2021-04-07-05-00-01,2021-04-08-05-00-02,2021-04-09-05-00-01,2021-04-10-05-00-01,2021-04-11-05-00-01,2021-04-12-05-00-01,2021-04-13-05-00-01,2021-04-14-05-00-01,2021-04-15-05-00-01,2021-04-16-05-00-01,2021-04-17-05-00-01,2021-04-18-05-00-01,2021-04-19-05-00-01,2021-04-20-05-00-01,2021-04-21-05-00-01,2021-04-22-05-00-01,2021-04-23-05-00-01,2021-04-24-05-00-02,2021-04-25-05-00-01,2021-04-26-05-00-01,2021-04-27-05-00-01,2021-04-28-05-00-01,2021-04-29-05-00-01,2021-04-30-05-00-01,2021-05-01-05-00-01,2021-05-02-05-00-01,2021-05-03-05-00-01
UbikCapital-entity.json,3NKMT/Qz11e2xklwSCV/zeawLE3BIO/Rn4LfaV47QJI=,oasis1qppjm5sxqwps4dpyekdvz530sjmq3e5eusp7hdan,0xC869a1389cab3594175f7a017e4b932C9E982434,42502275.366805055,42523507.784009584,42544750.808070721,42566890.242839706,42588154.939022093,42579167.507289962,42600438.336696951,42621719.789918966,42643011.876724764,42664314.600195692,42686516.253563358,42707840.710060841,42729175.819394043,42750521.586884683,42772768.100638701,42794135.645069384,42815512.579422093,42837780.490485038,42859158.226170858,42880534.623884898,42901902.806823736,42924159.419044462,42945515.844224714,42966862.271378745,-1,-1,-1,-1,-1,-1
Wanderer-Cry-entity.json,sDi9ZxHYB+rHTpVh4abNFXDMRSecfGe4QzbyGK8ZgQg=,oasis1qqewwznmvwfvee0dyq9g48acy0wcw890g549pukz,0x29d5E04c8D621fF9022F643C6a1CfA9baBEe2a7C,41714689.81765002,41731018.658198282,41747353.831063751,41764564.441171385,41780912.62614572,41797267.150846822,41813628.017702447,41829995.247017204,41850891.820273179,41867274.005582575,41884534.142929133,41900929.377888417,41917330.970866346,41933738.942217396,41951026.25916346,41967447.300476562,41983873.468153415,42005708.852203359,42022129.775662137,42038545.287398433,42054948.664944554,42072218.741194108,42088602.306881747,42104971.998495757,-1,-1,-1,-1,-1,-1
anhhoangta-entity.json,EMocfU8+k8g40RFIrEQzXxnmjvkLl0lTm9HdlvLuBrY=,oasis1qr6up5yhuqyngscsst7n9epnhg2uwmumwuttlh0w,0x0d3854F9618fEDe545Ff348114F67BA155D9adAB,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2
aptemuyc-entity.json,BBba0XfI4WSTroE+/YGcFthxbEC5jQJhWhl0jIBwke0=,oasis1qq2kqzr4q942x44st97n66nmmyh7dhsuvsqyc22u,0x123456789681afb25aaaa3b2a6e064c57c8fa3e9,38938638.997727536,38958091.16638065,38977553.052550222,38946470.943233222,38965927.024409443,38985392.825056659,39004868.350030328,39024353.60418833,39043848.592390966,39063353.319500977,39083681.10486224,39103205.730683927,39122740.110218741,39142284.248339243,39162653.107772325,39182217.184811595,39201789.859242976,39168897.822912341,39188444.64198596,39207990.237679678,39227528.322160467,39247878.745547864,39267406.079274545,39286924.271265521,-1,-1,-1,-1,-1,-1
bitoven-dev-entity.json,UFXCpcvXBOHbxtObG4psGcn+LgZOedvDDUAqVengpPk=,oasis1qrs8zlh0mj37ug0jzlcykz808ylw93xwkvknm7yc,0x1ed5C9755dA699903b49a69733701f14e16a6b1b,101234066.018395696,101279072.195411869,101329566.795285402,101382296.668927274,101424528.203728896,101475195.794558082,101525888.696865724,101584101.971239429,101634849.278666784,101683543.449528758,101736457.525519864,101787280.943618094,101838129.75103978,101889003.960468396,101942024.953987356,101992951.065255944,102044269.087260738,102097341.270019367,102148291.855014794,102199239.251157779,102250167.068632174,102303212.32231705,102354112.116960257,102404988.082827015,-1,-1,-1,-1,-1,-1
calvinzhou-rockx-entity.json,3DRMMM7ye2HREvk8zz06OjMG6BuWjs84PLdSYChNHAw=,oasis1qpjuke27se2wnmvx6e8uc4l5h44yjp9h7g2clqfq,0x7d1c8AA977696fD938CA2EaBE8D9be7358694486,39238474.688885029,39256962.739540176,39276573.929855871,39297012.670945038,39316643.868586112,39336284.873179285,39355935.68962371,39375596.322820994,39395266.777675185,39414947.059092791,39435457.806782308,39455158.166011993,39474868.366744109,39494588.413895069,39515140.605347824,39532169.523657936,39551917.009615742,39572487.557935249,39592235.784144861,39611982.774369069,39631722.175986072,39652282.286713146,39672010.82680208,39691730.130960401,-1,-1,-1,-1,-1,-1
cherideal-entity.json,xQN6ffLSdc51EfEQ2BzltK1iWYAw6Y1CkBAbFzlhhEQ=,oasis1qzp84num6xgspdst65yv7yqegln6ndcxmuuq8s9w,0xCD60CC64acf74c68a7E9D7407d249Bae74DEf892,103327.14952014,103327.14952014,103327.14952014,103327.14952014,103327.14952014,103327.14952014,103327.14952014,103327.14952014,103327.14952014,103327.14952014,103327.14952014,103327.14952014,103327.14952014,103327.14952014,103327.14952014,103327.14952014,103327.14952014,103327.14952014,103327.14952014,103327.14952014,103327.14952014,103327.14952014,103327.14952014,103327.14952014,-1,-1,-1,-1,-1,-1
chris-remus-entity.json,a/LVFfoI3aRoasZs6tP/Lvn0CbG6RkvEFYHcVR/Vo9M=,oasis1qrxyndkhehffdme39urcp2v7m2t7k06xwsuyaxqq,0x1216F51Cf38BAa42eDc63C89560162277E4399F5,36758904.009854738,36777267.271096226,36795639.705880085,36814787.418572688,36833178.596904227,36851578.962724384,36869988.52062286,36888407.275191642,36906835.231025015,36935273.125135217,36954493.500257815,36972954.470095497,36991424.662286811,37009904.08143887,37029163.293013846,37047661.564858975,37066167.965730391,37085445.701344886,37103952.795944944,37122458.732238504,37140957.556851759,37160225.510853037,37178714.156560833,37197194.146795492,-1,-1,-1,-1,-1,-1
dcccapital-entity.json,4gbOOU09bcyvM53Up1lTnP+sLb0feniJu0OcUUPCBSs=,oasis1qzl99wft8jtt7ppprk7ce7s079z3r3t77s6pf3dd,0x3B6408d6585FfCc23a951874ce7399C038ac45d0,94512173.740596174,94550310.608739997,94597544.118577707,94647164.922088009,94694446.816422108,94741852.335039717,94789181.531374439,94912982.371460793,94960397.057438085,95007835.429874176,95057275.601342848,95107260.854049845,95154771.513941894,95207618.91073121,95257163.045515174,94797360.062428801,94808046.138881558,94867388.299801664,94918460.350399178,94946256.630097956,94993570.148896772,95043650.621575697,95062424.722468208,95159676.294245465,-1,-1,-1,-1,-1,-1
dm4-entity.json,RDCyARTIdpiG75L9vVXAYIhRCToSrchZkv3JUW3Pji8=,oasis1qztpm422n7v98f4s7ja0wt5jey7fy3xpg5ye2vtl,0x1cca28600d7491365520b31b466f88647b9839ec,42108369.455714805,42129405.093462907,42150451.23976456,42172385.488948812,42193453.106517136,42204484.431784198,42225568.084685696,42246662.270127177,42267766.993370269,42288882.259679233,42310888.545588984,42332025.353680811,42353172.720866805,42374330.652421857,42396381.403960887,42417560.920825866,42438749.744984559,42460821.705543038,42482011.323983362,42503199.616225635,42524379.765980102,42546440.527122562,42567609.022582959,42588767.607996578,42609916.258120267,-1,-1,-1,-1,-1
